ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"Large Language Model, Natural Language Processing","Modernizes technology, delivers better public services, speeds up government processes, cuts costs on consultants, and enhances efficiency across Whitehall",21/01/2025,press@dsit.gov.uk,Department for Science Innovation and Technology,gov.uk,"Department for Science, Technology and Innovation (DSIT)",,"Main bundle of AI tools being deployed across Whitehall, with some components already available",https://www.gov.uk/government/news/shake-up-of-tech-and-ai-usage-across-nhs-and-other-public-services-to-deliver-plan-for-change,planned,Humphrey,Workflow Automation
"Machine Learning, Computer Vision, Other","Examples of AI benefits in health and care include: 1) Analyzing X-ray images like mammograms to support radiologists, freeing them to spend more time with patients or screen more people quickly; 2) Supporting people in virtual wards with remote monitoring technology to assess patients' health at home; 3) Helping clinicians read brain scans more quickly, shortening treatment time and improving quality of care.",30/04/2025,,NHS Transformation Directorate,transform.england.nhs.uk,Health and Care Information Governance Working Group,,Guidance on information governance for AI in health and care settings to support lawful and safe use of patient data.,https://transform.england.nhs.uk/information-governance/guidance/artificial-intelligence/,live,NHS Transformation Directorate AI Guidance,Health AI
"Computer Vision, Machine Learning, Other","The programme aims to test if a centralised platform: 1) Accelerates safe and ethical deployment of trusted AI products at multiple hospital sites, 2) Provides cost and time-effective standard deployment processes, 3) Provides access to post-market surveillance resources, 4) Provides case studies for accelerating broader technology adoption across NHS organisations.",,,NHS England,england.nhs.uk,NHS England and Department of Health and Social Care (DHSC),,"Centralised hub for AI diagnostic support for radiological imaging in trusts, processing MRI scans and x-rays.",https://www.england.nhs.uk/contact-us/privacy-notice/artificial-intelligence-deployment-platform-pilot/,pilot,NHS Artificial Intelligence Deployment Platform (AIDP),Vision AI
"Computer Vision, Machine Learning","The AI enables rapid segregation of normal and abnormal chest X-ray results, instantly prioritizing cases that need radiologist reporting review and possible referral to next stage CT scans. This creates a seamless workflow for radiologists, powering productivity and enabling smooth switching between chest X-ray and CT reporting workflows, which maximizes resource utilization and throughputs.",14-Feb-24,,University Hospitals of Leicester NHS Trust,Qure.ai (technology provider) in partnership with Magentus (RIS provider),University Hospitals of Leicester NHS Trust Radiology Department,,AI system reviews GP-referred chest X-rays to identify lung abnormalities as part of the LungIMPACT research study.,https://www.uhleicester.nhs.uk/news/chest-x-ray-ai-live-at-leicesters-hospitals-with-aims-to-expedite-the-detection-of-lung-cancer/,live,qXR AI,Health AI
Machine Learning,Identifies high-risk patients in emergency care,,,Barts Health NHS Trust,bartshealth.nhs.uk,Emergency care team,,Mentioned in news article as being trialed in emergency care,https://www.bartshealth.nhs.uk/news/ai-already-transforming-hospital-care-17435,pilot,Bingli,Health AI
"Machine Learning, Other","Improved administrative processes and communication with patients. WNB AI tool reduces WNB rates by 60% across the targeted group and reallocates released appointments. Targeted, patient-centred interventions, helping to reduce health inequalities for the most deprived patients.",16/05/2023,kim.orwin@nhs.net,Alder Hey and CHA trusts,england.nhs.uk,"Children and young people, Elective care",,"AI tool predicts children's medical appointment attendance, targeting interventions where non-attendance risk is high.",https://www.england.nhs.uk/long-read/was-not-brought-wnb-ai-tool/,live,Was not brought (WNB) AI tool,Predictive Analytics
"Machine Learning, Computer Vision","Reduces MRI scan times by 10-15 minutes (33% reduction in some cases) while maintaining or improving image quality. A routine head MRI now takes 20 minutes instead of 30, and a prostate scan takes 30 minutes instead of 45. Daily capacity for lumbar spine scans increased from 21 to 31 patients over 12 hours. Patients with claustrophobia or learning disabilities can better tolerate shorter scan times. Fewer pediatric patients need general anesthesia. Cost savings from reduced resource use.",04/07/2025,,NHS Humber Health Partnership,Hull University Teaching Hospitals NHS Trust,Imaging Department,,"Software has been installed at Hull Royal and Castle Hill hospitals, partially implemented at Scunthorpe General Hospital",https://www.hey.nhs.uk/news/2025/07/04/use-of-ai-technology-means-shorter-mri-scan-times-for-patients/,live,Air Recon Deep Learning (ARDL),Health AI
"Computer Vision, Machine Learning","Identifies up to 85 different findings including lung cancer, acute infections, and incorrectly placed feeding and breathing tubes with results delivered in minutes. Acts as a 'second pair of eyes' for clinicians, helping detect critical conditions such as chest sepsis promptly and reducing the risk of avoidable complications. Supports clinical decision-making and allows patients to get treatment faster.",29/05/2025,,Leeds Teaching Hospitals NHS Trust,leedsth.nhs.uk,Leeds Teaching Hospitals NHS Trust,,"AI chest X-ray software to speed up diagnosis at Leeds Teaching Hospitals, examining 135,000 X-rays annually.",https://www.leedsth.nhs.uk/news/new-ai-chest-x-ray-software-to-speed-up-diagnosis-and-improve-patient-care-at-leeds/,pilot,Annalise Enterprise CXR solution,Health AI
"Computer Vision, Machine Learning","Assists radiologists in identifying and tracking suspicious lung nodules over time, provides AI-generated overlays on CT scans showing size/growth of nodules, helps determine timing of treatment actions, enables faster and more informed decisions, pulls patient images from prior CT examinations for nodule management, supports progression monitoring, and processes approximately 1,200 chest CT scans weekly across four NHS trusts in the region",,,Qure.ai,peninsuladiagnostics.nhs.uk,PenRAD Imaging Network,,"AI tool for lung nodule detection in CT scans across four NHS trusts, funded by the Artificial Intelligence Diagnostic Fund.",https://peninsuladiagnostics.nhs.uk/news-imaging/new-ai-tool-is-helping-in-the-treatment-of-lung-cancer-8219/,live,qCT,Vision AI
"Computer Vision, Machine Learning","Allows radiologists to view urgent cases with high accuracy within seconds of the image being taken, reducing turnaround times, improving patient outcomes, reducing costs, and allowing better resource utilization",2020-12,mahmud.sajid@nhs.net,Sandwell and West Birmingham NHS Trust,swbh.nhs.uk,Sandwell and West Birmingham NHS Trust,,"AI solution analyzes chest X-rays to identify abnormalities with 94% accuracy, prioritizing them for radiologist review.",https://www.swbh.nhs.uk/wp-content/uploads/2020/12/Using-artificial-intelligence-in-the-imaging-department.pdf,live,Behold.ai,Health AI
"Computer Vision, Machine Learning","The framework ensures efficient and effective setup of AI projects, aligns stakeholders, provides structured governance, ensures clinical safety, and facilitates accurate performance validation against patient demographics and equipment. It helped establish a comprehensive process for AI implementation including accuracy testing, usability assessment, and risk management.",21/10/2024,,NHS Trust,nhs.uk,NHS Trust AI Working Group and AI Project Management Group,,"Framework for AI pilot studies in radiology to triage breast and chest scans, addressing radiologist shortages.",https://www.digitalregulations.innovation.nhs.uk/case-studies/setting-up-an-implementation-and-governance-framework-for-artificial-intelligence-ai-pilot-studies-taking-place-in-an-nhs-trust/,live,AI implementation & governance framework,Health AI
